PROJ.4 +proj=utm +zone=29 +ellps=WGS84 +datum=WGS84 +units=m +no_defs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Name,Population,X,Y,COUNTY_08,DIST_08,CLAN_08,DEMAND_MW,HOSP_MAIN_LOC,HOSP_ALT-NAME,Clinics,ClinDem,HC,HCDem,SumHlthDem,Pri_Schools,PriSchDem,Sec_Schools,SecSchDem,Both_PriSec,BothPriSecDem,SumEduDem,demand (household) > target household penetration rate,FullProdDem,demand (productive) > projected productive demand,demand (social infrastructure) > projected health facility demand per year,demand (social infrastructure) > projected education facility demand per year
Settlement,Sucromu,1998,452420,853555,Lofa,Salayea,Vavala,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,Kpayea,1950,457528,852443,Lofa,Salayea,Vavala,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,Behplay,1924,555221.9699,794271.7402,Nimba,Twan River,Srohlay,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Bodee,1923,530725.7712,688495.661,Grand Gedeh,Gboe-Ploe,Douangboyee/Neezonee,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Duogee,1922,554039.6123,693019,Grand Gedeh,B'hai,Tian-Duogee,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
Settlement,Mehnpa,1919,516088,772242,Nimba,Wee-Gbehyi-Mahn,Ylan,,,,0,0,0,0,0,0,0,0,0,2,1200,1200,0.3,0,0,0,2912.714965
Settlement,Ziggida,1886,446702.5767,888379.3391,Lofa,Zorzor,Zeayeama,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Palakwell,1872,382692.8419,796388.7312,Gbarpolu,Gounwolaila,Gou,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Lawalazu,1844,406925.0288,934000.4171,Lofa,Voinjama,Upper Workor,,,,1,2000,0,0,2000,0,0,0,0,2,1200,1200,0.3,0,0,8643.88475,2912.714965
Settlement,Kpalla-Jah Tondo,1837,301915.0641,711730.2692,Montserra,St. Paul River,Kpalla,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Duazon Public,1826,321964.9798,688833.5205,Margibi,Mambah Kaba,Scheiffelin Township,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
Settlement,Duo,1825,593878,634472,Grand Gedeh,Putu,Lower Jebebo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
Settlement,Lepula,1821,564217.8812,771011.4109,Nimba,Buu-Yao,Vanwea,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Gahnmue,1810,481678.7609,799227.4325,Bong,Panta,Gahnmue,,,,1,2000,0,0,2000,0,0,0,0,2,1200,1200,0.3,0,0,8643.88475,2912.714965
Settlement,Beatuo,1808,555119.8104,747114.4126,Nimba,Kparblee,Bentuo,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Zekepa,1774,486825,735096,Nimba,Yarwein Mehnsonnoh,Zehnla,,,,0,0,1,12500,12500,2,500,0,0,1,600,1100,0.3,0,0,54024.27969,2669.988718
Settlement,Weajue,1768,288154.4454,791809.3279,Grand Cape Mount,Golakonneh,Mana,,,,0,0,0,0,0,2,500,0,0,0,0,500,0.3,0,0,0,1213.631236
Settlement,Sehyi/Kimpa,1766,534490.4458,816149.5345,Nimba,Sanniquellie Mahn,Sehyi,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Kpalla-Perry  Town /Wilson Corner Displace Camp,1756,300491.1716,711688.2301,Montserra,St. Paul River,Kpalla,,,,0,0,0,0,0,3,750,1,500,0,0,1250,0.3,0,0,0,3034.078089
Settlement,Garplay,1756,558685.3634,787896.2802,Nimba,Twan River,Srohlay,,,,1,2000,0,0,2000,2,500,0,0,1,600,1100,0.3,0,0,8643.88475,2669.988718
Settlement,Dwejah,1752,614666,557157,Maryland,Whojah,Wuah,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Buutuo,1751,573126.7922,754329.6953,Nimba,Buu-Yao,Nyor,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Peah,1750,644145,650150,Grand Gedeh,Konobo,Lower Gbardru,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Lorplay,1750,531401.2744,768000.4972,Nimba,Boe & Quilla,Gosenter,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Karnwee,1741,516735,777219,Nimba,Leewehpea-Mahn,Leepea,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Owensgroove,1718,353402.4628,693137.5353,Grand Bassa,Owensgrove,Giah,,,,1,2000,0,0,2000,7,1750,1,500,2,1200,3450,0.3,0,0,8643.88475,8374.055526
Settlement,Gbono Paye,1717,477759.4179,795946.5159,Bong,Panta,Gahnmue,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Gbarma,1716,302421,773601,Gbarpolu,Gbarma,Gbarma,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Blebo,1708,616119.3146,523107.2707,Grand Kru,Bleebo,Karwalaken,,,,1,2000,0,0,2000,3,750,0,0,1,600,1350,0.3,0,0,8643.88475,3276.804336
Settlement,Felokree,1708,562981.9084,517350.3289,Grand Kru,Felo-Jekwi,Felor,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Genoyah City 1 Francis Nyanfor,1708,618706,507202,Grand Kru,Garraway,Genoyah,,,,0,0,0,0,0,1,250,0,0,2,1200,1450,0.3,0,0,0,3519.530583
Settlement,Garaway  C/Ghakwenken,1708,618581.9108,497014.0475,Grand Kru,Garraway,Lower Garrway,,,,1,2000,0,0,2000,2,500,0,0,2,1200,1700,0.3,0,0,8643.88475,4126.346201
Settlement,Gbarken & Newcess,1708,596944.1879,503287.6112,Grand Kru,Grand Cess Wedabo,Gbanken,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
Settlement,Grandcess City A,1708,585679,505190,Grand Kru,Grand Cess Wedabo,Grand Cess,,,,0,0,0,0,0,5,1250,1,500,1,600,2350,0.3,0,0,0,5704.066807
Settlement,Behwan City,1708,625385,512791.977,Grand Kru,Trenbo,Behwan,,,,0,0,1,12500,12500,6,1500,0,0,4,2400,3900,0.3,0,0,54024.27969,9466.323638
Settlement,Betu City,1708,558104,520436,Grand Kru,Upper Jloh,Gbatu,,,,0,0,0,0,0,2,500,0,0,1,600,1100,0.3,0,0,0,2669.988718
Settlement,Senlay,1708,549872.0644,786680.7089,Nimba,Twan River,Wealay,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Zolowu,1699,439625.0306,846862.9927,Lofa,Zorzor,Gizima,,,,1,2000,0,0,2000,0,0,0,0,1,600,600,0.3,0,0,8643.88475,1456.357483
Settlement,Gbayblin,1697,511691,784944,Nimba,Leewehpea-Mahn,Siateh,,,,1,2000,0,0,2000,1,250,0,0,0,0,250,0.3,0,0,8643.88475,606.8156178
Settlement,Pennoken,1696,593885,618950,Grand Gedeh,Putu,Upper Jebebo,,,,1,2000,0,0,2000,1,250,0,0,0,0,250,0.3,0,0,8643.88475,606.8156178
Settlement,Gblah,1679,535962,774710,Nimba,Zoe-Gbao,Zoe,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Bonla,1673,537308.867,837807.6099,Nimba,Yarmein,Gbar,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Jargeloken,1664,616292,537330,Maryland,Gwelekpoken,Datiaken,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Mambo,1662,366011,912057,Lofa,Foya,Luankollie,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Claim,1650,307628,828500,Gbarpolu,Koninga,Jawajeh,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
Settlement,Porlowu Town,1647,368719,908302,Lofa,Kolahun,Wanwoma,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Tiapa,1643,529435,787776,Nimba,Yarpea Mahn,Gbayee,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Vayenglay,1632,548331.1892,789664.4768,Nimba,Twan River,Wealay,,,,1,2000,0,0,2000,0,0,0,0,3,1800,1800,0.3,0,0,8643.88475,4369.072448
Settlement,Galaymon,1628,487849.5903,766947.6341,Nimba,Meinpea-Mahn,Gbotein,,,,1,2000,0,0,2000,1,250,0,0,1,600,850,0.3,0,0,8643.88475,2063.173101
Settlement,Rock Town,1626,625847,546504,Maryland,Nyorken,Gbitofla-fla,,,,0,0,0,0,0,1,250,0,0,1,600,850,0.3,0,0,0,2063.173101
Settlement,Klay,1625,292557.9181,739450.586,Bomi,Klay,Kpo,,,,0,0,0,0,0,1,250,0,0,0,0,250,0.3,0,0,0,606.8156178
Settlement,Duo Gbeah,1612,539956.8704,796800.2777,Nimba,Yarpea Mahn,Duo-ah,,,,0,0,0,0,0,0,0,0,0,1,600,600,0.3,0,0,0,1456.357483
Settlement,Medina,1603,333771.6153,777981.0366,Gbarpolu,Bopolu,Bondi Man,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
Settlement,Karnley,1600,295580,773347.3402,Gbarpolu,Gbarma,Gbarma,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
